can CDC help my local board of health,HealthDeptRecommendedActions
can CDC help my local health dept get protective gear?,HealthDeptRecommendedActions
does CDC provide protocols for labs to test covid-19?,HealthDeptRecommendedActions
Are all the old people going to die? ,HigherRiskPopulations
I have underlying health issues.,HigherRiskPopulations
How does it affect immunocompromised people? ,HigherRiskPopulations
Higher risk populations,HigherRiskPopulations
Does Gen-Y get it?,HigherRiskPopulations
Does  Corona Virus (COVID-19) affect older people more?,HigherRiskPopulations
Can Millennials get it? ,HigherRiskPopulations
Can Gen-X get sick? ,HigherRiskPopulations
Are older adults more likely to contract the disease?,HigherRiskPopulations
Why are people with pre-existing conditions more at risk?,HigherRiskPopulations
Who is dying? ,HigherRiskPopulations
Why do Boomers get sick? ,HigherRiskPopulations
Who is at higher risk for serious illness from COVID-19?,HigherRiskPopulations
What does immunocompromised mean? ,HigherRiskPopulations
Do seniors need to take extra precautions?,HigherRiskPopulations
How does this impact the elderly? ,HigherRiskPopulations
I am over the age of 60.,HigherRiskPopulations
I have a chronic illness.,HigherRiskPopulations
How does the virus spread?,HowDoesItSpread
How does it spread,HowDoesItSpread
how does the covid spread?,HowDoesItSpread
is corona virus contagious?,HowDoesItSpread
does the corona virus spread easily?,HowDoesItSpread
how did the virus spread from China?,HowDoesItSpread
how does the corona spread?,HowDoesItSpread
what is the count of corona virus in US?,How_many_cases
what is the count of covid-19 in us?,How_many_cases
what is the count of covid in US?,How_many_cases
what is the status of covid in US?,How_many_cases
How many cases of Covid 19 has been detected?,How_many_cases
How many cases of corona virus has been detected?,How_many_cases
Total Cases so Far,How_many_cases
How many cases so far?,How_many_cases
How many cases of covid 19 have been detected?,How_many_cases
What are the stats on COVID-19?,How_many_cases
What is the stats on Corona Virus?,How_many_cases
What should I do if someone in my house gets sick with COVID-19?,InfectedFamilyMember
what do i do when someone in my home gets it?,InfectedFamilyMember
Infected family member,InfectedFamilyMember
do I need to quarantine ill family members?,InfectedFamilyMember
my roommate has corona virus what should I do?,InfectedFamilyMember
are schools continuing to serve school lunch plans even if classes are closed?,MealsForStudents
will school students be able to get their free meals?,MealsForStudents
Meals for students,MealsForStudents
"While school’s out, will kids have access to meals?",MealsForStudents
how are students on school lunch plans getting their meals?,MealsForStudents
Negative test results,NegativeTestResults
Can a person test negative and later test positive for COVID-19?,NegativeTestResults
if you test negative can you still get COVID-19 later?,NegativeTestResults
Can you have corona virus and still test negative?,NegativeTestResults
Does a negative test mean a person does not have COVID-19?,NegativeTestResults
Whats happening?,News_Corona_Virus
NEWS,News_Corona_Virus
whats happening,News_Corona_Virus
What is in the NEWS?,News_Corona_Virus
Can  Corona Virus (COVID-19) spread from person-to-person?,PersonToPerson
Can I catch it from my friend?,PersonToPerson
person to person,PersonToPerson
Can someone who has had COVID-19 spread the illness to others?,PersonToPerson
How does  Corona Virus (COVID-19) spread?,PersonToPerson
Why is  Corona Virus (COVID-19) spreading between people?,PersonToPerson
Why is it so contagious?,PersonToPerson
Who can I get it from?,PersonToPerson
what goes into a family emergency plan?,PrepareFamily
should my household plan ahead?,PrepareFamily
how do I prepare my household in case corona virus hits my community?,PrepareFamily
How can my family and I prepare for COVID-19?,PrepareFamily
Prepare family,PrepareFamily
How do I prepare my children in case of COVID-19 outbreak in our community?,PreparingChildren
Preparing children,PreparingChildren
what should I tell my child about this pandemic?,PreparingChildren
how do I keep my kids from worrying about the virus?,PreparingChildren
My child is stressed about the crisis how can I help?,PreparingChildren
should i stop buying products from China?,ProductsFromChina
are packages from China infected?,ProductsFromChina
Products from China,ProductsFromChina
is it safe to buy Chinese products?,ProductsFromChina
Am I at risk for COVID-19 from a package or products shipping from China?,ProductsFromChina
Protecting children,ProtectingChildren
what will protect my kids from getting the infection?,ProtectingChildren
is handwashing important for children?,ProtectingChildren
How can I protect my child from COVID-19 infection?,ProtectingChildren
should I disinfect my kid's toys?,ProtectingChildren
What should I have my family do to keep from getting sick?,ReduceFamilyRisk
What steps can my family take to reduce our risk of getting COVID-19?,ReduceFamilyRisk
what are the top tips to keep my family from catching it?,ReduceFamilyRisk
lower my family's risk of getting sick,ReduceFamilyRisk
Reduce family risk,ReduceFamilyRisk
what are my work from home options?,ReportingToWork
will my office be closed?,ReportingToWork
Should I go to work if there is an outbreak in my community?,ReportingToWork
Reporting to work,ReportingToWork
I'm supposed to work but my child's school is canceled,ReportingToWork
Risk to children,RiskToChildren
What is the risk of my child becoming sick with COVID-19?,RiskToChildren
do children catch covid-19?,RiskToChildren
Can corona virus infect an infant?,RiskToChildren
Are kids at increased risk of infection?,RiskToChildren
Are children at higher risk of getting sick?,RiskToChildren
Can corona virus affect the pets?,RiskToPets
Are my pets in risk?,RiskToPets
Risk to pets,RiskToPets
Should I be concerned about pets or other animals and COVID-19?,RiskToPets
Is there any danger to pets?,RiskToPets
how do I know if my school is closing?,schoolclosing
Will schools be dismissed if there is an outbreak in my community?,schoolclosing
why are schools closing?,schoolclosing
who gets to decide if the school will close?,schoolclosing
school closing,schoolclosing
School from home,Schoolfromhome
I need tips for at home learning,Schoolfromhome
how do I keep my child engaged in schoolwork?,Schoolfromhome
Tips for my child's schedule when school is canceled.,Schoolfromhome
"While school’s out, how can I help my child continue learning?",Schoolfromhome
does putting infected people into quarantine help?,spreadinquarantine
what is a quarantine?,spreadinquarantine
what is the incubation period of this corona virus?,spreadinquarantine
Can someone who has been quarantined for COVID-19 spread the illness to others?,spreadinquarantine
spread in quarantine,spreadinquarantine
does quarantining people stop the spread of corona virus?,spreadinquarantine
does it spread on food packaging?,spreadviafood
do I need to wash my groceries?,spreadviafood
spread via food,spreadviafood
does the virus stick to packaged food?,spreadviafood
"Can the virus that causes COVID-19 be spread through food, including refrigerated or frozen food?",spreadviafood
is the pandemic causing discrimination against Chinese people?,Stigmatizedgroups
What causes stereotyping and blame?,Stigmatizedgroups
Why might someone blame or avoid individuals and groups (create stigma) because of COVID-19?,Stigmatizedgroups
Stigmatized groups,Stigmatizedgroups
are Asian people being unfarely blamed for corona virus?,Stigmatizedgroups
what's stress?,stress
How does stress affect human health?,stress
what exactly is stress?,stress
what is stress?,stress
How do i manage stress?,stress_management
i am stressed,stress_management
how to stop stress?,stress_management
how do i forget stress?,stress_management
how to stop getting stress?,stress_management
i am overloaded,stress_management
i am overloaded with work,stress_management
i have lots of work,stress_management
i am so stressed,stress_management
i am feeling stressed,stress_management
how to forget stress?,stress_management
how to remove stress?,stress_management
how to i get rid of stress?,stress_management
how do i get away from stress?,stress_management
what makes me stressed?,stressors
what makes me feel stressful?,stressors
why am i stressful?,stressors
what makes me tired and stressed?,stressors
what makes me stress?,stressors
how does stress make me sick?,stress_symptoms
how do i know i have stress?,stress_symptoms
how does stress make me ill?,stress_symptoms
what are the signs of stress?,stress_symptoms
what are the symptoms of stress?,stress_symptoms
does stress make me sick?,stress_symptoms
what are the effects of stress?,stress_symptoms
what does stress do?,stress_symptoms
does stress injure me?,stress_symptoms
does covid-19 cause fever?,Symptoms
What are the symptoms and complications that COVID-19 can cause?,Symptoms
what symptoms should I watch for?,Symptoms
does covid-19 cause coughing?,Symptoms
Symptoms,Symptoms
is fever a sign of this infection?,Symptoms
do kids get different symptoms?,Symptomsinchildren
Symptoms in children,Symptomsinchildren
what are the symptoms in children?,Symptomsinchildren
do children react differently to the virus than adults do?,Symptomsinchildren
Are the symptoms of COVID-19 different in children than in adults?,Symptomsinchildren
Testing,Testing
who should get tested?,Testing
Should I be tested for COVID-19?,Testing
should I head to the doctor if I show symptoms?,Testing
can my doctor test me if I start feeling sick?,Testing
does it get less contagious in the summer?,warmerweather
Will warm weather stop the outbreak of COVID-19?,warmerweather
warmer weather,warmerweather
will the virus go away during warmer months?,warmerweather
i heard the spread will slow down in warmer months,warmerweather
Do I need to wear a face mask?,Wearingfacemasks
Do face masks do anything?,Wearingfacemasks
Someone in my household is sick should we wear masks at home?,Wearingfacemasks
What do face masks do? ,Wearingfacemasks
Wearing face masks,Wearingfacemasks
Should my child wear a face mask?,Wearingfacemasks
Should I wear a face mask?,Wearingfacemasks
Should I use a face mask when in public?,Wearingfacemasks
Does CDC recommend the use of facemask to prevent COVID-19?,Wearingfacemasks
Where did  Corona Virus (COVID-19) appear?,WhatisCovid
What is COVID 19?,WhatisCovid
What is Covid,WhatisCovid
what is carona virus?,WhatisCovid
When did  Corona Virus (COVID-19) start?,WhatisCovid
What is a novel coronavirus?,WhatisCovid
Carona Virus,WhatisCovid
covid 19,WhatisCovid
How did the  Corona Virus (COVID-19) spread from China?,WhatisCovid
Why did  Corona Virus (COVID-19) spread?,WhatisCovid
Where was  Corona Virus (COVID-19) first spotted.,WhatisCovid
When did  Corona Virus (COVID-19) appear?,WhatisCovid
What is SARS-CoV-2?,WhatisCovid
which location did corona virus start from?,Wherediditstart
What is the source of the virus?,Wherediditstart
Where did corona virus originate from?,Wherediditstart
Where did it start,Wherediditstart
is corona virus the same as covid-19?,Whythename
why is covid-19 the name for this disease?,Whythename
"Why is the disease being called coronavirus disease 2019, COVID-19?",Whythename
is covid an abbreviation?,Whythename
Why the name,Whythename
why was covid-19 used to name this disease?,Whythename
